100 великих улиц и площадей,Аннина С.А.,"Книга приглашает читателя посетить самые прекрасные и неповторимые площади и улицы мира. Вы узнаете о том, какая улица самая длинная в мире, или самая зеленая, узкая или самая широкая. Вы познакомитесь с историческими событиями и архитектурными достопримечательностями, сформировавшими нынешний облик величайших площадей России, стран Европы, Азии. Ближнего Востока, Африки, Америки.",2 000 тг,0,Вече,2015 г.,9785444419731,416,Твердый,215 мм x 145 мм,33 мм,385 г.,http://www.bookcity.kz/content/images/thumbs/5068282_1407985.jpeg
The World of Ornament (Bibliotheca Universalis),Неизвестно,"Discover a world of decorative ideas with this compendium of history’s most elegant patterns and ornamental designs.

The World of Ornament brings together the two greatest encyclopedic collections of ornament of the 19th century: Auguste Racinet’s L’Ornement polychrome Volumes I and II (1875–1888) and Auguste Dupont-Auberville’sL’Ornement des tissus (1877) to provide one lavish source book spanning jewelry, tile, stained glass, illuminated manuscript, textile and ceramic ornament.

Encompassing classical, Egyptian, Greek, Roman, Etruscan, Asian and middle-Eastern, as well as European designs from medieval times through the 19th century, this compilation of cultures and esthetics offers a primary reference for artists, historians, designers and patternmakers, and anyone engaged in decorative design and impact.",16 100 тг,3,Taschen,2015 г.,9783836556255,Твердый,46 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5126275_1458800.jpeg
World Architecture International Style,"Дешарн Р., Нере Ж.","""Modern architecture is not a new branch of an old tree - it is an altogether new shoot rising beside the old roots"". Thus Walter Gropius, one of the pioneers of modern architecture, on the radical departures of the 20th century. In the 1930s, the term International Style came into use to describe a new form of architecture evolved from Bauhaus and its conviction that ""form follows function"".",16 500 тг,0,Taschen,2009 г.,9783836510523,224,Твердый,25 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/4489631_1337338.jpeg
World Architecture: Egypt,Неизвестно,"The architecture of the pharaohs represents some of the most impressive creative work ever produced in Egyptian art and yet it has never been completely assessed. Dietrich Wildung, Curator of the Egyptian Museum in Berlin, gives a compelling account of the breathtaking architectural achievements in the Valley of the Nile during one of the oldest architectural eras: from the earliest royal tombs from c. 3000 B.C. to the pyramids of Giza and the temples of Karnak and Luxor. This volume provides a fascinating insight into a civilization that has caught the imagination of countless generations since its demise, elucidating not only 3000 years of architectural history, but also outlining the related visual arts, reliefs and wall paintings. With more than 250 color illustrations, computer-aided reconstructions, plans of famous buildings and clear chronological tables that place architectural developments within the context of historical events, this publication makes a considerable...",8 500 тг,0,Taschen,2009 г.,9783836510301,224,20 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5040046_1362844.jpeg
Автономное (децентрализованные) системы горячего водоснабжения,Гончар В.В.,"Излагаются вопросы учебной программы ""Оборудование абонентских вводов"" дисциплины ""Теплоснабжение"": технические и эксплуатационные характеристики проточных и емкостных газовых водонагревателей проточных и емкостных электрических водонагревателей бойлеров косвенного нагрева солнечных водонагревателей (гелиоустановок). Приводятся расчеты и рекомендации по выбору водонагревательных установок для местных систем горячего водоснабжения. Предназначено для студентов, обучающихся по направлению 653500 ""Строительство"", специальности 270109 ""Теплогазоснабжение и вентиляция"" для специалистов, работающих в области систем теплоснабжения при разработке, эксплуатации, монтаже установок систем горячего водоснабжения и газоснабжения абонентских установок, а также для потребителей (абонентов) при выборе водонагревателей.",5 000 тг,0,АСВ,2010 г.,9785930937282,376,215 мм x 145 мм,20 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5007514_1328235.jpeg
Азбука домашнего мастера,Горбов А.М.,"Естественно стремление каждого человека создать уют и атмосферу комфорта в самом любимом и важном для него и его близких месте - в доме. Также известно, что гармония и счастье невозможны там, где текут краны, дует из окон или сломана плита. С помощью этой книги ремонтные работы любой степени сложности в доме будут вам по плечу. Не прибегая к услугам дорогих специалистов, вы сами сможете установить стиральную машину, заменить смеситель, устранить неисправности в розетках или починить холодильник. Все разделы книги снабжены подробнейшими схемами, а также рекомендациями специалистов. В ваших руках незаменимая книга для настоящего хозяина в доме!",1 300 тг,2,Дрофа-Плюс,2007 г.,9785955509143,432,240 мм x 170 мм,24 мм,590 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5011627_1333434.jpeg
Азбука профессий. Строитель,Мискарян Е.,"Психологи утверждают, что неверно выбранная профессия делает человека несчастным, неудовлетворенность от работы способна довести до стресса и депрессии. Это первая книга серии «Азбука профессий». Задача этой серии - рассказать о различных специальностях, но не просто рассказать, а показать, чему можно научиться в том или ином учебном заведении. Знакомят читателей с профессиями сами студенты и их преподаватели через мастер-классы. Кроме того, в книге представлены статьи психологов-профконсультантов. Их работа как раз и заключается в том, чтобы оказывать помощь в выборе профессии.",3 600 тг,0,Формат М,2012 г.,9785903843084,208,Мягкий,8 мм,510 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102568_1439074.jpeg
Алвара Аалто. Рай для обывателя/ Architecture. Aalto,Lahti L.,Неизвестно,7 600 тг,0,Taschen,2004 г.,9783822835272,Мягкий,15 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5100709_1437371.jpeg
Американский загородный дом/The American Country house,Аслет К.,The American Country House,11 800 тг,0,Yale,2005 г.,9780300105056,320,17 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5008577_1331264.jpeg
Анатомия архитектуры,Кавтарадзе С.,"Цель книги искусствоведа Сергея Кавтарадзе - максимально простым и понятным языком объяснить читателю, что такое архитектура как вид искусства. Автор показывает, как работают механизмы восприятия архитектурного сооружения, почему зритель получает от него эстетическое удовольствие. Книга учит самостоятельно видеть и анализировать пластические достоинства формы и бесконечные слои смыслового наполнения архитектурных памятников, популярно излагая историю европейских стилей и логику их развития.Книга адресована широкому кругу читателей, интересующихся архитектурой и историей искусства.",7 900 тг,0,Издательский Дом ВШЭ,2018 г.,9785759817444,472,Твердый,250 мм x 180 мм,30 мм,825 г.,http://www.bookcity.kz/content/images/thumbs/5126085_1458591.jpeg
Антонио Гауди,Астахов А.,В альбоме представлены 22 фотографии известных работ каталонского архитектора Антонио Гауди.,5 400 тг,1,Белый город,2017 г.,9785779350211,48,Мягкий,10 мм,290 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5115582_1448578.jpeg
